race,year,round,session,event,status,laps_rows,stream_rows,seconds,warnings,error
2025_01_australian_grand_prix_R,2025,1,R,Australian Grand Prix,OK,927,19234,24.9,fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '87' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '30' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '5' | fastf1.fastf1.core WARNING Driver 4 completed the race distance 00:00.022000 before the recorded end of the session. | fastf1.api WARNING Driver 241: Position data is incomplete! | fastf1.api WARNING Driver 242: Position data is incomplete! | fastf1.api WARNING Driver 243: Position data is incomplete!,
2025_02_chinese_grand_prix_R,2025,2,R,Chinese Grand Prix,OK,1065,22683,23.6,,
2025_02_chinese_grand_prix_S,2025,2,S,Chinese Grand Prix,OK,380,8083,15.7,fastf1.fastf1.core WARNING Driver 44 completed the race distance 00:00.020000 before the recorded end of the session. | fastf1.api WARNING Driver  2: Position data is incomplete! | fastf1.api WARNING Driver  3: Position data is incomplete! | fastf1.api WARNING Driver 11: Position data is incomplete! | fastf1.api WARNING Driver 20: Position data is incomplete! | fastf1.api WARNING Driver 24: Position data is incomplete! | fastf1.api WARNING Driver 77: Position data is incomplete! | fastf1.api WARNING Driver  5: Position data is incomplete! | fastf1.api WARNING Driver  6: Position data is incomplete! | fastf1.api WARNING Driver  7: Position data is incomplete! | fastf1.api WARNING Driver 12: Position data is incomplete! | fastf1.api WARNING Driver 30: Position data is incomplete! | fastf1.api WARNING Driver 87: Position data is incomplete!,
2025_03_japanese_grand_prix_R,2025,3,R,Japanese Grand Prix,OK,1059,26357,25.3,,
2025_04_bahrain_grand_prix_R,2025,4,R,Bahrain Grand Prix,OK,1128,38038,26.8,fastf1.api WARNING Driver  2: Car data is incomplete! | fastf1.api WARNING Driver  3: Car data is incomplete! | fastf1.api WARNING Driver  8: Car data is incomplete! | fastf1.api WARNING Driver  9: Car data is incomplete! | fastf1.api WARNING Driver 11: Car data is incomplete! | fastf1.api WARNING Driver 15: Car data is incomplete! | fastf1.api WARNING Driver 17: Car data is incomplete! | fastf1.api WARNING Driver 19: Car data is incomplete! | fastf1.api WARNING Driver 20: Car data is incomplete! | fastf1.api WARNING Driver 21: Car data is incomplete! | fastf1.api WARNING Driver 24: Car data is incomplete! | fastf1.api WARNING Driver 25: Car data is incomplete! | fastf1.api WARNING Driver 26: Car data is incomplete! | fastf1.api WARNING Driver 28: Car data is incomplete! | fastf1.api WARNING Driver 29: Car data is incomplete! | fastf1.api WARNING Driver 44: Car data is incomplete! | fastf1.api WARNING Driver 55: Car data is incomplete! | fastf1.api WARNING Driver 63: Car data is incomplete! | fastf1.api WARNING Driver 81: Car data is incomplete! | fastf1.api WARNING Driver 87: Car data is incomplete! | fastf1.api WARNING Driver  1: Position data is incomplete! | fastf1.api WARNING Driver  2: Position data is incomplete! | fastf1.api WARNING Driver  3: Position data is incomplete! | fastf1.api WARNING Driver  4: Position data is incomplete! | fastf1.api WARNING Driver  5: Position data is incomplete! | fastf1.api WARNING Driver  6: Position data is incomplete! | fastf1.api WARNING Driver  7: Position data is incomplete! | fastf1.api WARNING Driver  8: Position data is incomplete! | fastf1.api WARNING Driver  9: Position data is incomplete! | fastf1.api WARNING Driver 10: Position data is incomplete! | fastf1.api WARNING Driver 11: Position data is incomplete! | fastf1.api WARNING Driver 12: Position data is incomplete! | fastf1.api WARNING Driver 14: Position data is incomplete! | fastf1.api WARNING Driver 15: Position data is incomplete! | fastf1.api WARNING Driver 16: Position data is incomplete! | fastf1.api WARNING Driver 17: Position data is incomplete! | fastf1.api WARNING Driver 18: Position data is incomplete! | fastf1.api WARNING Driver 19: Position data is incomplete! | fastf1.api WARNING Driver 20: Position data is incomplete! | fastf1.api WARNING Driver 21: Position data is incomplete! | fastf1.api WARNING Driver 22: Position data is incomplete! | fastf1.api WARNING Driver 23: Position data is incomplete! | fastf1.api WARNING Driver 24: Position data is incomplete! | fastf1.api WARNING Driver 25: Position data is incomplete! | fastf1.api WARNING Driver 26: Position data is incomplete! | fastf1.api WARNING Driver 27: Position data is incomplete! | fastf1.api WARNING Driver 28: Position data is incomplete! | fastf1.api WARNING Driver 29: Position data is incomplete! | fastf1.api WARNING Driver 44: Position data is incomplete! | fastf1.api WARNING Driver 55: Position data is incomplete! | fastf1.api WARNING Driver 63: Position data is incomplete! | fastf1.api WARNING Driver 81: Position data is incomplete! | fastf1.api WARNING Driver 87: Position data is incomplete! | fastf1.api WARNING Driver 241: Position data is incomplete! | fastf1.api WARNING Driver 242: Position data is incomplete! | fastf1.api WARNING Driver 243: Position data is incomplete!,
2025_05_saudi_arabian_grand_prix_R,2025,5,R,Saudi Arabian Grand Prix,OK,898,22297,21.7,fastf1.api WARNING Driver 241: Position data is incomplete! | fastf1.api WARNING Driver 242: Position data is incomplete! | fastf1.api WARNING Driver 243: Position data is incomplete!,
2025_06_miami_grand_prix_R,2025,6,R,Miami Grand Prix,OK,1005,24825,23.8,fastf1.fastf1.core WARNING Driver 81 completed the race distance 00:00.036000 before the recorded end of the session.,
2025_06_miami_grand_prix_S,2025,6,S,Miami Grand Prix,OK,331,8368,17.8,fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '4' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '81' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '44' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '63' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '18' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '22' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '12' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '10' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '27' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '6' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '23' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '31' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '30' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '87' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '5' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '7' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '1' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '14' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '55' | fastf1.fastf1.core WARNING No lap data for driver 16 | fastf1.fastf1.core WARNING Failed to perform lap accuracy check - all laps marked as inaccurate (driver 16) | fastf1.fastf1.core WARNING Driver 4 completed the race distance 00:00.023000 before the recorded end of the session. | fastf1.api WARNING Driver 241: Position data is incomplete! | fastf1.api WARNING Driver 242: Position data is incomplete! | fastf1.api WARNING Driver 243: Position data is incomplete!,
2025_07_emilia_romagna_grand_prix_R,2025,7,R,Emilia Romagna Grand Prix,OK,1207,24471,23.9,fastf1.api WARNING Driver 241: Position data is incomplete! | fastf1.api WARNING Driver 242: Position data is incomplete! | fastf1.api WARNING Driver 243: Position data is incomplete!,
2025_08_monaco_grand_prix_R,2025,8,R,Monaco Grand Prix,OK,1425,28279,25.2,,
